player_id,season,clubs,leagues,played,started,minutes,goals,yellow_cards,red_cards,votes,clean_sheets,was_goalkeeper
1K3B68wP9N,2024,Monarchs Sports Club,Saturday Division 2 B; Saturday Division 2 A; Master Builders SA Born to Build Challenge Cup,15,15,1355,0,2,0,0,0,false
1K3B68wP9N,2025,Monarchs Sports Club,Sportal Saturday Division Two; Master Builders Born 2 Build Challenge Cup,16,15,1274,0,0,0,0,0,false
1K3B68wP9N,2026,Monarchs Sports Club,Sportal Saturday Division Two; Master Builders Born to Build Challenge Cup,13,11,995,0,4,1,0,0,false
1K3B6Dnz9N,2025,Pitbulls Football Club,Sportal Saturday Premier B; Sportal Saturday Premier C; Premier C; Reserve Cup,25,21,1800,12,1,0,0,0,false
1K3B6Dnz9N,2026,Pitbulls Football Club,Sportal Saturday Premier C; Sportal Saturday Premier B; Reserve Cup,22,12,1159,2,0,1,0,0,false
1K3B6E37oN,2026,Elizabeth Vale Soccer Club,Sunday Division Two Reserves; Sportal Sunday Division Two; Master Builders Born to Build Challenge Cup,17,15,1150,8,6,0,0,0,false
1K3B6G6pRN,2025,Modbury Vista,HPG Homes State League 2 North; Australia Cup SA Preliminary Rounds; HPG Homes State League 2 North - Reserves; HPG Homes State League 2 (Seniors) Final Series,22,17,1576,0,1,0,0,0,false
1K3B6G6pRN,2026,Port Adelaide; Gawler Eagles,Senior Men's Trials; HPG Homes State League 2 North - Reserves; HPG Homes State League 2 North,13,7,668,2,0,0,0,0,false
1K3B6Z5vON,2024,FK Beograd,Sunday Division 2 B,14,12,1289,2,0,0,0,0,false
1K3B6Z5vON,2025,FK Beograd,Sunday Division Eight,14,8,640,8,0,0,0,0,false
1K3B6Z5vON,2026,FK Beograd,Sunday Division Seven,12,10,800,8,0,0,0,0,false
1K3B6x01BN,2024,West Beach Football Club,Sunday Division 2 A; Master Builders SA Born to Build Challenge Cup,13,13,1141,1,2,0,0,0,false
1K3B6x01BN,2025,West Beach Football Club,Trial Matches - Premier & Division 2; Master Builders Born 2 Build Challenge Cup; Sportal Sunday Division Two,18,15,1282,1,5,0,0,0,false
1K3B6x01BN,2026,West Beach Football Club,Trial Matches - Premier A & Division 2A; Sportal Sunday Premier A; Guardian Insurance Brokers Over 35's Cup; Master Builders Born to Build Challenge Cup; Guardian Insurance Over 35's Blue,20,17,1367,3,5,0,0,0,false
1K3B97lR3N,2026,Macedonia United Lions Socer Club,Sunday Division Three,14,11,981,13,3,0,0,0,false
1K3B97lR3N,Winter 2023,Blue City Football Club,Sunday Division 4; Sunday Division 7,6,4,447,4,0,0,0,0,false
1K3B9A8r3N,2024,Adelaide Red Blue Eagles Football Club,Over 35's; Saturday Division 2 B; Over 35's Cup,7,6,520,0,0,0,0,0,false
1K3B9A8r3N,2025,Adelaide Atletico,Guardian Insurance Brokers Over 35's; Guardian Insurance Brokers Over 35's Cup,10,10,800,0,0,0,0,0,true
1K3B9A8r3N,2026,Western Strikers,Guardian Insurance Over 35's Blue; Guardian Insurance Brokers Over 35's Cup,15,12,960,0,1,0,0,1,true
1K3B9PlJqN,2024,Parafield Gardens Soccer Club,Sunday Division 2 B,6,3,406,0,0,0,0,0,false
1K3B9PlJqN,2026,Parafield Gardens Soccer Club,C Team Cup; Reserve Cup; Sunday Division Six; Sunday Division Two Reserves,7,3,256,0,0,0,0,0,false
1K3B9PlJqN,Winter 2023,Parafield Gardens Soccer Club,Sunday Premier C; Sunday Premier B; Sunday Premier A,13,7,605,0,0,0,0,0,false
1K3B9QLWYN,2024,Noarlunga United,Senior Men's Trial Matches; State League 2 Reserves; Federation Cup Reserves; State League 2,21,12,1144,0,3,1,0,0,false
1K3B9QLWYN,2025,Noarlunga United,Reserves; HPG Homes State League 2 South - Reserves; Federation Cup Reserves,18,15,1262,2,7,0,0,0,false
1K3B9QLWYN,2026,Noarlunga United,Federation Cup Reserves; HPG Homes State League 2 South - Reserves,17,16,1919,2,2,2,0,0,false
1K3B9eV53N,2024,Mount Barker United,Under 14 Trials - No Match Officials; Under 14 JSL B; U14 Carl's Junior Boys Cup,21,20,1590,0,1,0,0,0,true
1K3B9eV53N,2025,Mount Barker United,Reserves; Federation Cup U18's; HPG Homes State League 2 South - Under 18's; HPG Homes State League 2 South - Reserves,22,19,1740,0,3,0,0,0,true
1K3B9eV53N,2026,Mount Barker United,Federation Cup U18's; Under 18's; HPG Homes State League 2 South - Under 18's; HPG Homes State League 2 South - Reserves; HPG Homes State League 2 South,19,18,2204,0,4,1,0,0,true
1K3B9gQbqN,2023,Campbelltown City,U17 Carl's Junior Boys Cup; U16 JPL A - Bottom Half; Under 17's JPL A; Under 16's JSL A,14,7,620,3,0,0,0,0,false
1K3B9gQbqN,2024,Campbelltown City,U18 Trial Matches; Reserves Trial Matches; RAA NPL Under 18's; RAA NPL Reserves; Federation Cup U18's,38,23,2025,17,1,0,0,0,false
1K3B9gQbqN,2025,Campbelltown City,Senior Men's Trials; Reserves; RAA NPL; RAA NPL Reserves; Federation Cup Reserves; Australia Cup SA Preliminary Rounds,21,16,1406,7,1,0,0,0,false
1K3B9gQbqN,2026,Modbury Jets; Campbelltown City,Federation Cup Reserves; Hahn Australia Cup SA Preliminary Rounds; HPG Homes State League 1 Reserves; HPG Homes State League 1; RAA NPL Reserves,16,9,1019,5,1,0,0,0,false
1K3B9n5b3N,2024,FK Beograd,Sunday Division 2 B; Sunday Division 2 A; Reserve Cup,9,8,663,0,1,0,0,0,false
1K3B9n5b3N,2025,FK Beograd,Sunday Division Eight,3,3,240,0,0,0,0,2,true
1K3B9n5b3N,2026,Adelaide Red Blue Eagles Football Club,Trial Matches - Premier A & Division 2A; Master Builders Born to Build Challenge Cup; Sportal Saturday Division Two,7,7,539,0,1,0,0,0,false
1K3B9n5b3N,Winter 2023,FK Beograd,Sunday Division 2 Reserves; Sunday Division 2; Challenge Cup,11,8,770,1,2,0,0,0,false
1K3Bga4LqN,2024,Seaford Rangers,Preseason Matches - All Reserves; Reserve Cup; Sunday Division 7; Sunday Division 3 B,15,13,1050,1,0,0,0,0,false
1K3Bga4LqN,2025,Seaford Rangers,Sunday Division Seven,13,12,960,1,0,0,0,0,false
1K3Bga4LqN,2026,Seaford Rangers,Sunday Division Six; C Team Cup,14,14,1120,0,0,0,0,0,false
1K3BgaBqON,2024,Adelaide City,RAA NPL Reserves; Federation Cup Reserves; RAA NPL; Australia Cup SA Preliminary Rounds,24,20,1802,2,5,1,0,0,false
1K3BgaBqON,2025,Adelaide City,Senior Men's Trials; RAA NPL; Australia Cup SA Preliminary Rounds,23,23,2101,2,5,0,0,0,false
1K3BgaBqON,2026,Adelaide City,Hahn Australia Cup SA Preliminary Rounds; RAA NPL,3,3,300,0,2,0,0,0,false
1K3Bgnp8GN,2024,Port Adelaide,Reserves Trial Matches; Senior Men's Trial Matches; Federation Cup Reserves; State League 2 Reserves; State League 2,24,22,1900,9,4,0,0,0,false
1K3Bgnp8GN,2025,Port Adelaide,Senior Men's Trials; HPG Homes State League 2 North; Australia Cup SA Preliminary Rounds; Reserves,25,19,1615,4,6,0,0,0,false
1K3Bgnp8GN,2026,Port Adelaide,Hahn Australia Cup SA Preliminary Rounds; Senior Men's Trials; HPG Homes State League 2 North,23,9,1008,3,0,0,0,0,false
1K3BgqL83N,2024,Para Hills Knights,U18 Trial Matches; Reserves Trial Matches; RAA NPL Under 18's; Federation Cup U18's,25,19,1620,1,3,0,0,0,false
1K3BgqL83N,2026,Elizabeth Downs Soccer Club,Reserves; Senior Men's Trials; HPG Homes State League 2 North - Reserves; HPG Homes State League 2 North,19,17,1478,0,2,0,0,0,false
1K3Bo9Dr9N,2026,BOSA,Saturday Division Seven,19,13,1040,0,1,0,0,0,false
1K3Bw1MaYN,2024,The Cove FC,Master Builders SA Born to Build Challenge Cup; Sunday Division 8; Sunday Division 4 B; Sunday Division 4 A,19,16,1371,2,0,0,0,0,false
1K3Bw1MaYN,2025,The Cove FC,Master Builders Born 2 Build Challenge Cup; Sunday Division Three Reserves; Sunday Division Three; Sunday Division Seven,24,17,1366,0,0,0,0,0,false
1K3Bw1MaYN,2026,The Cove FC,Saturday Division Eight; C Team Cup,14,9,720,3,0,0,0,0,false
