club,code,slug,crest,logo_url
Adelaide Atletico VSC,AAF,adelaide-atletico-vsc,./assets/crests/adelaide-atletico-vsc.png,https://ocean.dribl.com/6760212e5e32404dbb14ef2ade07f04c
Adelaide Blue Eagles,ABE,adelaide-blue-eagles,./assets/crests/adelaide-blue-eagles.png,https://ocean.dribl.com/cfc1babcd281433593223ff9f093547c
Adelaide Cobras FC,ACF,adelaide-cobras-fc,./assets/crests/adelaide-cobras-fc.png,https://ocean.dribl.com/ca93bfd65c2e475d95f372e95a9a8b8c
Adelaide Croatia Raiders,ACR,adelaide-croatia-raiders,./assets/crests/adelaide-croatia-raiders.png,https://ocean.dribl.com/523ab8411ba0452baac0c5bc12feb9ed
Adelaide Hills Hawks,AHH,adelaide-hills-hawks,./assets/crests/adelaide-hills-hawks.png,https://ocean.dribl.com/dc2204a583744be5a903a519abdf3fa6
Adelaide Olympic,AOF,adelaide-olympic,./assets/crests/adelaide-olympic.png,https://ocean.dribl.com/9db9f152c44b449f8fed96d0d4e58116
Adelaide Titans Football Club,ATF,adelaide-titans-football-club,./assets/crests/adelaide-titans-football-club.png,https://ocean.dribl.com/beebcb6234214d739d126f5e405ae228
Adelaide University,AUN,adelaide-university,./assets/crests/adelaide-university.png,https://ocean.dribl.com/6186579c51094a609043f115aa3dfec8
Angle Vale,AVS,angle-vale,./assets/crests/angle-vale.png,https://ocean.dribl.com/68d5e94b91de4e1a95d991d5ce5389d0
Barossa United,BUS,barossa-united,./assets/crests/barossa-united.png,https://ocean.dribl.com/cea0910a8d284267911e9d8d3a0b5430
Cove FC,CFC,cove-fc,./assets/crests/cove-fc.png,https://ocean.dribl.com/e6806fa573244ea49e145506cf3ffbb1
Cumberland United,CUN,cumberland-united,./assets/crests/cumberland-united.png,https://ocean.dribl.com/125e869828974b049118d2323e460630
Eastern United,EUF,eastern-united,./assets/crests/eastern-united.png,https://ocean.dribl.com/efdda88a576e48a5b9c1200b0d08765c
Elizabeth Downs Soccer Club,EDSFSA,elizabeth-downs-soccer-club,./assets/crests/elizabeth-downs-soccer-club.png,https://ocean.dribl.com/ac5cbc0439154844bc78027c02451322
Elizabeth Grove,EGS,elizabeth-grove,./assets/crests/elizabeth-grove.png,https://ocean.dribl.com/7827b53fa26248b298ffd4a888e3f015
Fulham United,FUF,fulham-united,./assets/crests/fulham-united.png,https://ocean.dribl.com/85d6d355fc074c61a16a8a0540914571
Gawler Eagles,GEF,gawler-eagles,./assets/crests/gawler-eagles.png,https://ocean.dribl.com/49d805f304624a0ca937e33b080a478f
Ghan United,GKC,ghan-united,./assets/crests/ghan-united.png,https://ocean.dribl.com/af6cc93c34d24547b34acd77ec4f317f
Modbury Jets,MJF,modbury-jets,./assets/crests/modbury-jets.png,https://ocean.dribl.com/55afe9be4d5845f68ccf39fcbfd60289
Modbury Vista,MVF,modbury-vista,./assets/crests/modbury-vista.png,https://ocean.dribl.com/39510729918b4220bf8324cd0eb29618
Mount Barker United,MBU,mount-barker-united,./assets/crests/mount-barker-united.png,https://ocean.dribl.com/d2e7aa4592ed4cb4bd1173a0150c3730
Noarlunga United,NLU,noarlunga-united,./assets/crests/noarlunga-united.png,https://ocean.dribl.com/9af9d321ad664b288af863217cf3dbaa
Northern Demons,NRD,northern-demons,./assets/crests/northern-demons.png,https://ocean.dribl.com/f03f252565074865971dc10f79f7560f
Plympton FC,PFC,plympton-fc,./assets/crests/plympton-fc.png,https://ocean.dribl.com/9bbd997ebe4c42b5af3b6dcf770a0cd6
Pontian Eagles,PEA,pontian-eagles,./assets/crests/pontian-eagles.png,https://ocean.dribl.com/868e941799cc449ab8a47f471c47ff1e
Port Adelaide,PAP,port-adelaide,./assets/crests/port-adelaide.png,https://ocean.dribl.com/a8c7bd924469409da2bf133f5a0b367a
Salisbury Inter,SIF,salisbury-inter,./assets/crests/salisbury-inter.png,https://ocean.dribl.com/ec35ebdd8d1947b28313b12986cdf244
Salisbury United,SUS,salisbury-united,./assets/crests/salisbury-united.png,https://ocean.dribl.com/9a01de68a0cd43068bc7aedc28844365
Seaford Rangers,SRF,seaford-rangers,./assets/crests/seaford-rangers.png,https://ocean.dribl.com/11dfe4e216b84e62a77512d9af734726
South Adelaide,SAF,south-adelaide,./assets/crests/south-adelaide.png,https://ocean.dribl.com/44bb3d0fe13347b7b2b87333c913a1cf
Vipers FC,VPC,vipers-fc,./assets/crests/vipers-fc.png,https://ocean.dribl.com/149cee738e714ce6a69dc58500d569c2
Western Strikers,WSF,western-strikers,./assets/crests/western-strikers.png,https://ocean.dribl.com/1a3a05d8defd478f861ab96f9fe8434f
