team_id,team,club,primary_league,grade,division,matches,rr_matches,ppg,gf_per_match,ga_per_match,gd_per_match,ladder_pos,ladder_teams,players_used,borrowed_in_apps,borrowed_in_players,gf,ga,avg_possession_pct,team_xg_per_match,team_xga_per_match,team_xgd_per_match
pmvzBWaRmv,MetroStars Men's Reserves NPL,MetroStars,RAA NPL Reserves,RES,NPL,25,22,2.59,3.45,0.95,2.5,1,12,35,103,20,83,23,,,,
am1qakEnmw,Campbelltown City Men's Reserves NPL,Campbelltown City,RAA NPL Reserves,RES,NPL,25,22,2.45,3.36,1.05,2.32,2,12,28,134,17,80,28,,,,
jdyeg5jPd5,Adelaide United Men's Reserves NPL,Adelaide United,RAA NPL Reserves,RES,NPL,25,22,1.68,3.45,2.23,1.23,3,12,42,55,7,83,56,,,,
PmrkxwMENo,WT Birkalla Men's Reserves NPL,WT Birkalla,RAA NPL Reserves,RES,NPL,23,22,1.68,2.91,2.14,0.77,4,12,33,142,21,65,48,,,,
2Kpv3rLWmY,Sturt Lions Men's Reserves NPL,Sturt Lions,RAA NPL Reserves,RES,NPL,25,22,1.64,2.73,2.05,0.68,5,12,35,160,26,62,50,,,,
PmjnVwM5mZ,Para Hills Knights Men's Reserves NPL,Para Hills Knights,RAA NPL Reserves,RES,NPL,23,22,1.5,1.86,1.77,0.09,6,12,42,123,29,43,44,,,,
MNGoqaALNA,Croydon FC Men's Reserves NPL,Croydon FC,RAA NPL Reserves,RES,NPL,22,22,1.41,1.55,1.68,-0.14,7,12,35,141,21,34,37,,,,
bd9Xa4gZK4,Adelaide Comets Men's Reserves NPL,Adelaide Comets,RAA NPL Reserves,RES,NPL,22,22,1.36,2.59,2.27,0.32,8,12,31,59,16,57,50,,,,
ld4OaGMOKW,Adelaide City Men's Reserves NPL,Adelaide City,RAA NPL Reserves,RES,NPL,22,22,0.91,1.95,2.55,-0.59,9,12,40,162,25,43,56,,,,
MNGoq5rLNA,West Adelaide Men's Reserves NPL,West Adelaide,RAA NPL Reserves,RES,NPL,22,22,0.91,0.95,3.05,-2.09,10,12,41,135,28,21,67,,,,
ld4OaGL0KW,FK Beograd Men's Reserves NPL,FK Beograd,RAA NPL Reserves,RES,NPL,22,22,0.77,1.32,2.95,-1.64,11,12,35,141,21,29,65,,,,
emA12xV1mB,Playford City Men's Reserves NPL,Playford City,RAA NPL Reserves,RES,NPL,22,22,0.45,1.27,4.73,-3.45,12,12,38,192,27,28,104,,,,
1K3YaO1RmQ,Adelaide City Senior Men's NPL,Adelaide City,RAA NPL,SEN,NPL,25,22,2.18,2.0,0.73,1.27,1,12,25,1,1,54,19,47.5,1.78,1.06,0.72
MNGoqa6QNA,WT Birkalla Senior Men's NPL,WT Birkalla,RAA NPL,SEN,NPL,25,22,2.14,2.5,1.23,1.27,2,12,21,1,1,61,31,51.7,2.08,1.2,0.88
EN2OalerKq,MetroStars Senior Men's NPL,MetroStars,RAA NPL,SEN,NPL,25,22,2.0,2.41,1.05,1.36,3,12,25,6,1,57,27,59.7,2.33,1.15,1.18
am1qak1Xmw,Playford City Senior Men's NPL,Playford City,RAA NPL,SEN,NPL,25,22,1.59,1.91,1.41,0.5,4,12,23,1,1,46,39,45.6,2.25,1.23,1.02
BdD1qgVxmb,FK Beograd Senior Men's NPL,FK Beograd,RAA NPL,SEN,NPL,23,22,1.5,1.59,1.36,0.23,5,12,21,5,3,35,33,50.7,1.55,1.3,0.25
Pmrkxw1ANo,Croydon FC Senior Men's NPL,Croydon FC,RAA NPL,SEN,NPL,23,22,1.36,2.09,1.86,0.23,6,12,19,10,1,46,43,49.0,2.02,1.93,0.09
PmjnVw1jmZ,Adelaide United Senior Men's NPL,Adelaide United,RAA NPL,SEN,NPL,22,22,1.32,1.5,1.45,0.05,7,12,40,13,4,33,32,58.2,1.58,1.44,0.14
emA12xB9mB,Campbelltown City Senior Men's NPL,Campbelltown City,RAA NPL,SEN,NPL,22,22,1.32,1.59,1.64,-0.05,8,12,25,3,3,35,36,49.8,1.35,1.85,-0.5
jmaVQk9qNR,Sturt Lions Senior Men's NPL,Sturt Lions,RAA NPL,SEN,NPL,22,22,1.23,1.59,1.64,-0.05,9,12,27,6,3,35,36,50.5,1.65,1.29,0.36
pmvzBJnRmv,West Adelaide Senior Men's NPL,West Adelaide,RAA NPL,SEN,NPL,22,22,1.14,1.82,2.0,-0.18,10,12,24,0,0,40,44,51.5,1.23,2.26,-1.03
nmYyq1Bbmz,Adelaide Comets Senior Men's NPL,Adelaide Comets,RAA NPL,SEN,NPL,22,22,0.91,1.14,1.73,-0.59,11,12,28,16,4,25,38,45.2,1.18,1.54,-0.36
8NODqewzKZ,Para Hills Knights Senior Men's NPL,Para Hills Knights,RAA NPL,SEN,NPL,22,22,0.05,0.64,4.68,-4.05,12,12,40,42,10,14,103,40.0,0.76,3.52,-2.76
4KLnqa7pmq,Campbelltown City Under 18's NPL,Campbelltown City,RAA NPL Under 18's,U18,NPL,25,22,2.59,3.86,0.95,2.91,1,12,30,62,13,95,26,,,,
